probe,x,y,residual,correlation_length,contrast,mu,entropy,a_axis,a_diag
P1_gap,0.1,0.09999999999999945,-5.551115123125783e-16,,,,,,
P1_gap,0.2,0.19999999999999787,-2.1371793224034263e-15,,,,,,
P1_gap,0.3,0.3000000000000069,6.8833827526759706e-15,,,,,,
P1_gap,0.4,0.3999999999999968,-3.219646771412954e-15,,,,,,
P1_gap,0.5,0.49999999999998207,-1.7930101847696278e-14,,,,,,
P1_gap,0.6,0.600000000000132,1.3200551762793111e-13,,,,,,
P1_gap,0.7,0.6999999999998917,-1.0824674490095276e-13,,,,,,
P1_gap,0.8,0.8000000000008519,8.518741267948826e-13,,,,,,
P1_gap,0.9,0.8999999999952225,-4.777511719566974e-12,,,,,,
P1_gap,1.0,0.9999999999969225,-3.077538224260934e-12,,,,,,
P1_gap,1.1,1.0999999999814758,-1.8524293210475662e-11,,,,,,
P1_gap,1.2,1.2000000000081363,8.136380458267922e-12,,,,,,
P2_abbe,6.0,0.08100080992790666,,8.064520801403315,,,,,
P2_abbe,6.856,0.07261113709653252,,8.69518643975583,,,,,
P2_abbe,7.833,0.06448605777135087,,9.396421720237573,,,,,
P2_abbe,8.95,0.056837421268434316,,10.180670961312485,,,,,
P2_abbe,10.226,0.049790012142021466,,11.156341076668383,,,,,
P2_abbe,11.685,0.043455457228269,,12.20453473814103,,,,,
P2_abbe,13.351,0.03786733556412985,,13.344402061151149,,,,,
P2_abbe,15.255,0.032986711921831315,,14.585191686249864,,,,,
P2_abbe,17.43,0.02875121767462116,,15.965232042767932,,,,,
P2_abbe,19.915,0.025102997584960006,,17.48069977993526,,,,,
P2_abbe,22.755,0.021985736096530498,,19.10380165257636,,,,,
P2_abbe,26.0,0.019335533594191906,,20.841434118445335,,,,,
P3_confinement,0.0,0.01712159951105152,,,0.7521567304557117,0.0,,,
P3_confinement,0.05,0.017189282417725434,,,0.7531876842864946,0.0,,,
P3_confinement,0.0769,0.017230783911304896,,,0.7538198398172121,0.0,,,
P3_confinement,0.1183,0.017314464589745723,,,0.7550944735503158,0.0,,,
P3_confinement,0.1821,0.01757048309985138,,,0.7589941769867591,0.0,,,
P3_confinement,0.2801,0.019104649693324826,,,0.7823627792576493,0.0,,,
P3_confinement,0.4309,0.02958656738461337,,,0.9420245569328838,0.0,,,
P3_confinement,0.6629,0.06191307832364618,,,1.4344256952144239,0.36076455671110075,,,
P3_confinement,1.0198,0.13070773618820083,,,2.482313848194577,0.9091911285041084,,,
P3_confinement,1.5689,0.24900838076127932,,,4.284282893263645,1.454953185247419,,,
P3_confinement,2.4137,0.4069443722647252,,,6.689982108331709,1.9006111997466817,,,
P3_confinement,3.7133,0.5698875972476811,,,9.171952080537842,2.2161501404440513,,,
P3_confinement,5.7126,0.7117620045981877,,,11.332999395670655,2.427718770426064,,,
P3_confinement,8.7885,0.8259692698475439,,,13.07261761536855,2.57051978419925,,,
P3_confinement,13.5205,0.9075216443596505,,,14.314832777872729,2.661296256880222,,,
P3_confinement,20.8004,0.955863859839622,,,15.0511869725547,2.7114568566932054,,,
P3_confinement,32.0,0.9802672052385637,,,15.422901540668123,2.73585351779243,,,
P4a_crossaxis,0.0,0.07709269355299765,,,,,,0.07659894420234,5.3429136696587065
P4b_restoration,4.0,0.2885273594071441,,,,,,,
P4b_restoration,4.793103448275862,0.23533314194414764,,,,,,,
P4b_restoration,5.586206896551724,0.13791391162870895,,,,,,,
P4b_restoration,6.379310344827586,0.058451897000035696,,,,,,,
P4b_restoration,7.172413793103448,0.06800995478848004,,,,,,,
P4b_restoration,7.9655172413793105,0.06567512127879266,,,,,,,
P4b_restoration,8.758620689655173,0.07396681292052727,,,,,,,
P4b_restoration,9.551724137931036,0.02779520845306925,,,,,,,
P4b_restoration,10.344827586206897,0.007359995723853867,,,,,,,
P4b_restoration,11.137931034482758,0.005218900216864565,,,,,,,
P4b_restoration,11.931034482758621,0.005737651076553822,,,,,,,
P4b_restoration,12.724137931034484,0.008015091714343489,,,,,,,
P4b_restoration,13.517241379310345,0.0008434607022392733,,,,,,,
P4b_restoration,14.310344827586206,0.00010481924078908501,,,,,,,
P4b_restoration,15.10344827586207,3.6063115948870858e-06,,,,,,,
P4b_restoration,15.896551724137932,4.113062868392294e-08,,,,,,,
P4b_restoration,16.689655172413794,1.9726708475687547e-09,,,,,,,
P4b_restoration,17.482758620689655,3.0040693383045247e-11,,,,,,,
P4b_restoration,18.275862068965516,1.1270640345362084e-12,,,,,,,
P4b_restoration,19.06896551724138,1.795085174815225e-14,,,,,,,
P4b_restoration,19.862068965517242,1.1189819278007528e-15,,,,,,,
P4b_restoration,20.655172413793103,1.869954448372894e-15,,,,,,,
P4b_restoration,21.448275862068968,1.3130717158562824e-15,,,,,,,
P4b_restoration,22.24137931034483,1.937948186977904e-15,,,,,,,
P4b_restoration,23.03448275862069,2.4503141573945938e-15,,,,,,,
P4b_restoration,23.82758620689655,1.0828309836558953e-15,,,,,,,
P4b_restoration,24.620689655172413,1.271647285731081e-15,,,,,,,
P4b_restoration,25.413793103448278,2.085913091561796e-15,,,,,,,
P4b_restoration,26.20689655172414,1.8157455423953276e-15,,,,,,,
P4b_restoration,27.0,1.8325909817447693e-15,,,,,,,
P4d_nyquist,0.5,0.7277818441390992,,,,,,,
P4d_nyquist,1.0,0.3638919115066529,,,,,,,
P4d_nyquist,1.5,0.24259340763092038,,,,,,,
P4d_nyquist,2.0,0.1819460153579712,,,,,,,
P4c_anisotropic,1.0,0.9922202207859258,,,,,,,
P4c_anisotropic,1.5,0.9152617486609543,,,,,,,
P4c_anisotropic,2.0,0.871756277762698,,,,,,,
P4c_anisotropic,2.5,0.8246956031481062,,,,,,,
P4c_anisotropic,3.0,0.7809035443367965,,,,,,,
P4c_anisotropic,3.5,0.7494366153693455,,,,,,,
P4c_anisotropic,4.0,0.7287983998463605,,,,,,,
