group,beta,L,ncfg,ratio,regime,phase,mu,contrast,c1,delta,m_hi,aperture
su2,0.5,16,96,0.36328125,truncated,confined (strong),0.0,0.42169913933579406,PASS,3.3420244092086726,0.0353652913835325,finite
su2,2.3,16,96,0.36328125,truncated,confined (scaling),0.0,0.42580949547193075,PASS,1.1598555569780375,0.31353146504432733,finite
su2,2.3,24,128,0.2175925925925926,truncated,confined (scaling),0.0,0.44798416745674724,PASS,1.074234089965725,0.3415592588077506,finite
su3,6.0,12,64,0.42592592592592593,truncated,confined,0.0,0.4078502056067635,PASS,1.1845482773331042,0.30588432317727454,finite
u1,0.9,8,48,0.703125,truncated,U(1) CONFINED  b<bc,0.0,0.37678568652658667,PASS,1.7930269556379883,0.16645555275194995,finite
u1,1.7,8,48,0.703125,truncated,U(1) Coulomb   b>bc,0.0,0.37905244221928386,PASS,1.7612734586868086,0.17182591123981839,finite
u1,2.5,8,128,1.875,full-rank,U(1) Coulomb   b>bc,0.0,0.37939108254266585,PASS,0.43464632072984605,0.6474936316607097,finite
