lambda,route,jmax,dim,mu,E1_lower,E0_upper,gap_lower,kappa0_upper,clears_floor,trunc_min,trunc_max,trunc_spread,tail_lifts,tail_shift,tail_m,tail_negatives
4.010000,relative,30,61,0.27470000,-1.67818183,-5.31221991,3.63403808,0.27465307,yes,3.66856188,3.66858679,2.49e-05,yes,-1.67818183,4,2
4.120000,relative,30,61,0.27470000,-1.80227925,-5.49257582,3.69029657,0.27465307,yes,3.72351219,3.72353567,2.35e-05,yes,-1.80227925,4,2
4.230000,relative,30,61,0.27470000,-1.92766191,-5.67340552,3.74574362,0.27465307,yes,3.77772111,3.77774376,2.27e-05,yes,-1.92766191,4,2
4.340000,relative,30,61,0.27470000,-2.05427935,-5.85469301,3.80041366,0.27465307,yes,3.83121797,3.83124041,2.24e-05,yes,-2.05427935,4,2
4.450000,relative,30,61,0.27470000,-2.18208438,-6.03642289,3.85433851,0.27465307,yes,3.88403024,3.88405308,2.28e-05,yes,-2.18208438,4,2
4.560000,relative,30,61,0.27470000,-2.31103272,-6.21858093,3.90754822,0.27465307,yes,3.93618364,3.93620753,2.39e-05,yes,-2.31103272,4,2
4.670000,relative,30,61,0.27470000,-2.44108278,-6.40115322,3.96007044,0.27465307,yes,3.98770232,3.98772796,2.56e-05,yes,-2.44108278,4,2
4.780000,relative,30,61,0.27470000,-2.57219546,-6.58412697,4.01193150,0.27465307,yes,4.03860897,4.03863711,2.81e-05,yes,-2.57219546,4,2
4.890000,relative,30,61,0.27470000,-2.70433390,-6.76749032,4.06315643,0.27465307,yes,4.08892497,4.08895644,3.15e-05,yes,-2.70433390,4,2
5.000000,relative,30,61,0.27470000,-2.83746332,-6.95123061,4.11376729,0.27465307,yes,4.13867048,4.13870619,3.57e-05,yes,-2.83746332,4,2
5.110000,relative,30,61,0.27470000,-2.97155089,-7.13533764,4.16378674,0.27465307,yes,4.18786452,4.18790547,4.09e-05,yes,-2.97155089,4,2
5.220000,relative,30,61,0.27470000,-3.10656555,-7.31980021,4.21323467,0.27465307,yes,4.23652509,4.23657238,4.73e-05,yes,-3.10656555,4,2
5.330000,relative,30,61,0.27470000,-3.24247786,-7.50460855,4.26213068,0.27465307,yes,4.28466922,4.28472409,5.49e-05,yes,-3.24247786,4,2
5.440000,relative,30,61,0.27470000,-3.37925995,-7.68975283,4.31049289,0.27465307,yes,4.33231306,4.33237685,6.38e-05,yes,-3.37925995,4,2
5.550000,relative,30,61,0.27470000,-3.51688532,-7.87522408,4.35833876,0.27465307,yes,4.37947191,4.37954615,7.42e-05,yes,-3.51688532,4,2
5.660000,relative,30,61,0.27470000,-3.65532882,-8.06101306,4.40568425,0.27465307,yes,4.42616033,4.42624667,8.63e-05,yes,-3.65532882,4,2
5.770000,relative,30,61,0.27470000,-3.79456652,-8.24711205,4.45254553,0.27465307,yes,4.47239215,4.47249244,1.00e-04,yes,-3.79456652,4,2
5.880000,relative,30,61,0.27470000,-3.93457563,-8.43351243,4.49893679,0.27465307,yes,4.51818054,4.51829679,1.16e-04,yes,-3.93457563,4,2
5.990000,relative,30,61,0.27470000,-4.07533445,-8.62020671,4.54487227,0.27465307,yes,4.56353804,4.56367247,1.34e-04,yes,-4.07533445,4,2
6.100000,relative,30,61,0.27470000,-4.21682224,-8.80718720,4.59036496,0.27465307,yes,4.60847661,4.60863167,1.55e-04,yes,-4.21682224,4,2
6.210000,relative,30,61,0.27470000,-4.35901925,-8.99444739,4.63542814,0.27465307,yes,4.65300768,4.65318601,1.78e-04,yes,-4.35901925,4,2
6.320000,relative,30,61,0.27470000,-4.50190657,-9.18197982,4.68007325,0.27465307,yes,4.69714215,4.69734665,2.04e-04,yes,-4.50190657,4,2
6.430000,relative,30,61,0.27470000,-4.64546613,-9.36977842,4.72431230,0.27465307,yes,4.74089045,4.74112426,2.34e-04,yes,-4.64546613,4,2
6.540000,relative,30,61,0.27470000,-4.78968063,-9.55783664,4.76815601,0.27465307,yes,4.78426256,4.78452910,2.67e-04,yes,-4.78968063,4,2
6.650000,relative,30,61,0.27470000,-4.93453351,-9.74614844,4.81161493,0.27465307,yes,4.82726804,4.82757100,3.03e-04,yes,-4.93453351,4,2
6.760000,relative,30,61,0.27470000,-5.08000888,-9.93470832,4.85469944,0.27465307,yes,4.86991604,4.87025940,3.43e-04,yes,-5.08000888,4,2
