beta,L,dims,nconfigs,Delta,Delta_err,m_hi,m_hi_err,below_floor
2.0,8,8x8x8x16,48,1.019518,0.546718,0.360769,0.197239,True
2.0,12,12x12x12x24,128,1.525311,0.115424,0.217553,0.025111,True
2.0,16,16x16x16x32,128,1.459107,0.057412,0.232444,0.013345,True
2.3,8,8x8x8x16,128,0.233001,1.075918,0.792153,0.852291,False
2.3,12,12x12x12x24,128,1.186948,0.25516,0.305151,0.077862,True
2.3,16,16x16x16x32,120,1.244833,0.044466,0.287989,0.012806,True
2.5,12,12x12x12x24,64,1.293722,0.163706,0.274248,0.044896,True
2.5,16,16x16x16x32,128,1.291501,0.089956,0.274858,0.024725,True
