operator,beta,L,ncfg,nsmear,tau,C_over_C0,C_err,m_eff,m_eff_err,a_m_0pp_expected
action_density,2.3,12,256,24,0,1.0,0.0,1.660514,0.066942,1.2687
action_density,2.3,12,256,24,1,0.190041,0.012504,1.270654,0.190621,1.2687
action_density,2.3,12,256,24,2,0.053335,0.011462,,,1.2687
action_density,2.3,12,256,24,3,-0.006031,0.007587,,,1.2687
action_density,2.3,12,256,24,4,0.023222,0.013312,,,1.2687
action_density,2.3,12,256,24,5,-0.011066,0.013246,,,1.2687
action_density,2.3,12,256,24,6,0.002307,0.007475,,,1.2687
plaquette_0pp,2.3,12,256,24,0,1.0,0.0,1.888279,0.065116,1.2687
plaquette_0pp,2.3,12,256,24,1,0.151332,0.00983,1.325608,0.401266,1.2687
plaquette_0pp,2.3,12,256,24,2,0.0402,0.016935,,,1.2687
plaquette_0pp,2.3,12,256,24,3,-0.016415,0.012653,,,1.2687
plaquette_0pp,2.3,12,256,24,4,0.012107,0.014993,,,1.2687
plaquette_0pp,2.3,12,256,24,5,0.008049,0.015369,,,1.2687
plaquette_0pp,2.3,12,256,24,6,0.026988,0.010552,,,1.2687
action_density,2.3,16,256,0,0,1.0,0.0,1.632243,0.033365,1.2687
action_density,2.3,16,256,0,1,0.195491,0.006507,2.263733,0.363087,1.2687
action_density,2.3,16,256,0,2,0.020324,0.00767,1.106395,2.161274,1.2687
action_density,2.3,16,256,0,3,0.006722,0.01253,,,1.2687
action_density,2.3,16,256,0,4,0.007414,0.010529,,,1.2687
action_density,2.3,16,256,0,5,-0.021173,0.011864,,,1.2687
action_density,2.3,16,256,0,6,-0.019615,0.012301,,,1.2687
plaquette_0pp,2.3,16,256,0,0,1.0,0.0,2.200999,0.100272,1.2687
plaquette_0pp,2.3,16,256,0,1,0.110692,0.011133,1.405532,0.451702,1.2687
plaquette_0pp,2.3,16,256,0,2,0.027146,0.011187,0.536406,0.647016,1.2687
plaquette_0pp,2.3,16,256,0,3,0.015876,0.015515,,,1.2687
plaquette_0pp,2.3,16,256,0,4,-0.009162,0.009233,,,1.2687
plaquette_0pp,2.3,16,256,0,5,0.000547,0.009491,,,1.2687
plaquette_0pp,2.3,16,256,0,6,-0.022874,0.00927,,,1.2687
action_density,2.3,16,256,8,0,1.0,0.0,1.746305,0.041936,1.2687
action_density,2.3,16,256,8,1,0.174417,0.007306,1.759823,0.387591,1.2687
action_density,2.3,16,256,8,2,0.030013,0.01039,0.815278,1.022467,1.2687
action_density,2.3,16,256,8,3,0.013281,0.009669,,,1.2687
action_density,2.3,16,256,8,4,-0.00417,0.016386,,,1.2687
action_density,2.3,16,256,8,5,-0.013404,0.013619,,,1.2687
action_density,2.3,16,256,8,6,0.001913,0.00965,,,1.2687
plaquette_0pp,2.3,16,256,8,0,1.0,0.0,1.476105,0.053123,1.2687
plaquette_0pp,2.3,16,256,8,1,0.228526,0.012217,1.139558,0.134458,1.2687
plaquette_0pp,2.3,16,256,8,2,0.073119,0.011798,0.614468,0.243879,1.2687
plaquette_0pp,2.3,16,256,8,3,0.039552,0.013185,1.283839,1.652482,1.2687
plaquette_0pp,2.3,16,256,8,4,0.010955,0.013511,,,1.2687
plaquette_0pp,2.3,16,256,8,5,0.010262,0.018295,,,1.2687
plaquette_0pp,2.3,16,256,8,6,-0.030529,0.010931,,,1.2687
action_density,2.3,16,256,24,0,1.0,0.0,1.696536,0.042088,1.2687
action_density,2.3,16,256,24,1,0.183317,0.007763,1.531556,0.276426,1.2687
action_density,2.3,16,256,24,2,0.039633,0.009679,1.047803,0.886545,1.2687
action_density,2.3,16,256,24,3,0.0139,0.010411,,,1.2687
action_density,2.3,16,256,24,4,-0.003726,0.016727,,,1.2687
action_density,2.3,16,256,24,5,-0.010211,0.012976,,,1.2687
action_density,2.3,16,256,24,6,0.001687,0.009762,,,1.2687
plaquette_0pp,2.3,16,256,24,0,1.0,0.0,1.91293,0.09285,1.2687
plaquette_0pp,2.3,16,256,24,1,0.147647,0.013877,1.260556,0.373609,1.2687
plaquette_0pp,2.3,16,256,24,2,0.041857,0.015477,0.454585,0.572553,1.2687
plaquette_0pp,2.3,16,256,24,3,0.026567,0.0162,0.390701,0.574486,1.2687
plaquette_0pp,2.3,16,256,24,4,0.017975,0.012048,-0.095273,1.14399,1.2687
plaquette_0pp,2.3,16,256,24,5,0.019772,0.013688,,,1.2687
plaquette_0pp,2.3,16,256,24,6,-0.002428,0.009707,,,1.2687
action_density,2.4,16,256,0,0,1.0,0.0,1.655507,0.032794,0.9451
action_density,2.4,16,256,0,1,0.190995,0.006246,1.964216,0.305794,0.9451
action_density,2.4,16,256,0,2,0.02679,0.007321,0.747859,0.644048,0.9451
action_density,2.4,16,256,0,3,0.012682,0.007781,,,0.9451
action_density,2.4,16,256,0,4,-0.003768,0.014951,,,0.9451
action_density,2.4,16,256,0,5,0.009001,0.015556,,,0.9451
action_density,2.4,16,256,0,6,-0.005318,0.014587,,,0.9451
plaquette_0pp,2.4,16,256,0,0,1.0,0.0,2.065101,0.091722,0.9451
plaquette_0pp,2.4,16,256,0,1,0.126805,0.011582,1.705261,0.318168,0.9451
plaquette_0pp,2.4,16,256,0,2,0.023044,0.009008,1.045718,1.193567,0.9451
plaquette_0pp,2.4,16,256,0,3,0.008098,0.007711,0.095951,1.572968,0.9451
plaquette_0pp,2.4,16,256,0,4,0.007358,0.009193,,,0.9451
plaquette_0pp,2.4,16,256,0,5,-0.000555,0.013445,,,0.9451
plaquette_0pp,2.4,16,256,0,6,0.00038,0.0094,,,0.9451
action_density,2.4,16,256,8,0,1.0,0.0,2.058038,0.140751,0.9451
action_density,2.4,16,256,8,1,0.127704,0.017931,1.694293,0.459097,0.9451
action_density,2.4,16,256,8,2,0.023463,0.012821,0.24019,0.558781,0.9451
action_density,2.4,16,256,8,3,0.018453,0.009841,,,0.9451
action_density,2.4,16,256,8,4,0.000728,0.017237,,,0.9451
action_density,2.4,16,256,8,5,-0.008643,0.011626,,,0.9451
action_density,2.4,16,256,8,6,-0.007271,0.012643,,,0.9451
plaquette_0pp,2.4,16,256,8,0,1.0,0.0,1.164514,0.013349,0.9451
plaquette_0pp,2.4,16,256,8,1,0.312074,0.004163,1.036283,0.151188,0.9451
plaquette_0pp,2.4,16,256,8,2,0.110715,0.016345,1.067001,0.355676,0.9451
plaquette_0pp,2.4,16,256,8,3,0.03809,0.014451,0.49071,0.542056,0.9451
plaquette_0pp,2.4,16,256,8,4,0.023319,0.012925,0.653273,1.817678,0.9451
plaquette_0pp,2.4,16,256,8,5,0.012134,0.013938,,,0.9451
plaquette_0pp,2.4,16,256,8,6,-0.008911,0.011099,,,0.9451
action_density,2.4,16,256,24,0,1.0,0.0,1.937432,0.125302,0.9451
action_density,2.4,16,256,24,1,0.144073,0.018,1.3794,0.234965,0.9451
action_density,2.4,16,256,24,2,0.036268,0.011133,0.422939,0.355495,0.9451
action_density,2.4,16,256,24,3,0.02376,0.011408,,,0.9451
action_density,2.4,16,256,24,4,0.009053,0.018308,,,0.9451
action_density,2.4,16,256,24,5,-0.013481,0.014007,,,0.9451
action_density,2.4,16,256,24,6,-0.012025,0.011005,,,0.9451
plaquette_0pp,2.4,16,256,24,0,1.0,0.0,1.216299,0.029825,0.9451
plaquette_0pp,2.4,16,256,24,1,0.296325,0.008882,0.966397,0.081762,0.9451
plaquette_0pp,2.4,16,256,24,2,0.112737,0.009962,1.068782,0.258401,0.9451
plaquette_0pp,2.4,16,256,24,3,0.038717,0.011034,,,0.9451
plaquette_0pp,2.4,16,256,24,4,0.006806,0.018098,,,0.9451
plaquette_0pp,2.4,16,256,24,5,-0.017939,0.013071,,,0.9451
plaquette_0pp,2.4,16,256,24,6,-0.013766,0.011793,,,0.9451
action_density,2.5,16,256,0,0,1.0,0.0,1.787003,0.057559,0.7144
action_density,2.5,16,256,0,1,0.167461,0.009597,2.405559,1.058737,0.7144
action_density,2.5,16,256,0,2,0.015108,0.012837,,,0.7144
