group,L,T,beta,collection,field,test,reference,bracket_half_gap,n_configs,stored_mean,stored_sem,equilibrium_mean,equilibrium_sem,offset,sigma,verdict,eq_method,eq_sweeps,eq_n
su2,16,32,1.6,configs_densebeta,density,level_vs_reference,hot_only,,192,3.674433,0.000264,3.674207,0.000707,0.000226,0.3,at_equilibrium,heatbath,120,8
su2,16,32,1.8,configs_densebeta,density,level_vs_reference,hot_only,,192,3.353644,0.00027,3.354023,0.000758,-0.000379,0.5,at_equilibrium,heatbath,120,8
su2,16,32,2.0,configs_betasweep,density,level_vs_reference,hot_only,,192,2.9927,0.000289,2.992855,0.000512,-0.000155,0.3,at_equilibrium,heatbath,120,8
su2,16,32,2.2,configs_betasweep,density,level_vs_reference,hot_only,,192,2.584596,0.000273,2.584585,0.000822,1.1e-05,0.0,at_equilibrium,heatbath,120,8
su2,16,32,2.3,configs_densebeta,density,level_vs_reference,hot_only,,24,2.386978,0.0009,2.386685,0.000982,0.000293,0.2,at_equilibrium,heatbath,120,8
su2,16,32,2.3,configs_gpu_su2_L16,density,level_vs_reference,hot_only,,96,2.386531,0.000377,2.386685,0.000982,-0.000154,0.1,at_equilibrium,heatbath,120,8
su2,16,28,2.3,configs_links_su2,links,level_vs_reference,hot_only,,512,2.386486,0.000161,2.386655,0.000775,-0.000169,0.2,at_equilibrium,heatbath,120,8
su2,16,32,2.3,configs_phase1,density,level_vs_reference,hot_only,,96,2.385837,0.00036,2.386685,0.000982,-0.000848,0.8,at_equilibrium,heatbath,120,8
su2,16,32,2.4,configs_betasweep,density,level_vs_reference,hot_only,,192,2.219836,0.000239,2.219726,0.000559,0.00011,0.2,at_equilibrium,heatbath,120,8
su2,16,32,2.4,configs_box_su2_b2.40,density,level_vs_reference,hot_only,,96,2.219977,0.000341,2.219726,0.000559,0.000251,0.4,at_equilibrium,heatbath,120,8
su2,16,32,2.4,configs_boxsm_su2,operator,halves_drift,none,,192,12263.89772,0.735113,12273.953796,12274.098267,0.14447,1.3,no_drift,none,0,0
su2,16,32,2.4,configs_gpu_su2_L16,density,level_vs_reference,hot_only,,96,2.219819,0.000356,2.219726,0.000559,9.3e-05,0.1,at_equilibrium,heatbath,120,8
su2,16,28,2.4,configs_links_su2,links,level_vs_reference,hot_only,,512,2.219878,0.000156,2.2199,0.000875,-2.2e-05,0.0,at_equilibrium,heatbath,120,8
su2,16,32,2.5,configs_b25_su2,operator,halves_drift,none,,2304,11527.346218,32.791944,12107.897181,12108.073603,0.176422,0.9,no_drift,none,0,0
su2,16,32,2.5,configs_densebeta,density,level_vs_reference,hot_only,,96,2.08787,0.000287,2.088184,0.000564,-0.000314,0.5,at_equilibrium,heatbath,120,8
su2,16,32,2.5,configs_gpu_su2_L16,density,level_vs_reference,hot_only,,96,2.087904,0.000306,2.088184,0.000564,-0.00028,0.4,at_equilibrium,heatbath,120,8
su2,16,32,2.5,configs_ladder,density,level_vs_reference,hot_only,,48,2.088393,0.000445,2.088184,0.000564,0.000209,0.3,at_equilibrium,heatbath,120,8
su2,16,28,2.5,configs_links_su2,links,level_vs_reference,hot_only,,512,2.088036,0.000139,2.088814,0.000805,-0.000778,1.0,at_equilibrium,heatbath,120,8
su2,16,32,2.5,configs_pilot_su2,operator,halves_drift,none,,576,11527.374747,65.6228,8009.667185,8012.704529,3.037343,2.1,no_drift,none,0,0
su2,16,32,2.6,configs_betasweep,density,level_vs_reference,hot_only,,192,1.980269,0.000197,1.97988,0.00048,0.000389,0.8,at_equilibrium,heatbath,120,8
su2,20,40,2.3,configs_densebeta,density,level_vs_reference,hot_only,,48,2.386417,0.000343,2.38591,0.000531,0.000507,0.8,at_equilibrium,heatbath,120,8
su2,20,40,2.3,configs_links_su2,links,level_vs_reference,hot_only,,256,2.386108,0.00015,2.38591,0.000531,0.000198,0.4,at_equilibrium,heatbath,120,8
su2,20,40,2.3,configs_links_su2_density,density,level_vs_reference,hot_only,,256,2.386108,0.00015,2.38591,0.000531,0.000198,0.4,at_equilibrium,heatbath,120,8
su2,20,32,2.4,configs_box_su2_b2.40,density,level_vs_reference,hot_only,,96,2.220058,0.000247,2.219441,0.000318,0.000617,1.5,at_equilibrium,heatbath,120,8
su2,20,32,2.4,configs_boxsm_su2,operator,halves_drift,none,,192,23952.854177,1.430111,23932.970093,23933.273478,0.303385,1.1,no_drift,none,0,0
su2,20,32,2.5,configs_b25_su2,operator,halves_drift,none,,2304,22514.575752,64.045959,15647.652802,15645.742233,-1.910568,1.8,no_drift,none,0,0
su2,24,48,0.5,configs_phase1,density,level_vs_reference,hot_only,,32,5.256739,0.000267,5.256773,0.000379,-3.4e-05,0.1,at_equilibrium,heatbath,120,8
su2,24,48,2.3,configs_phase1,density,level_vs_reference,hot_only,,256,2.386468,0.000111,2.386481,0.000279,-1.3e-05,0.0,at_equilibrium,heatbath,120,8
su2,24,32,2.4,configs_boxsm_su2,operator,halves_drift,none,,96,41424.566935,0.09586,41424.31543,41424.818441,0.503011,2.7,no_drift,none,0,0
su2,28,56,2.3,configs_phase1,density,level_vs_reference,hot_only,,264,2.386478,7.3e-05,2.386511,0.000257,-3.3e-05,0.1,at_equilibrium,heatbath,120,8
su2,32,64,0.5,configs_phase1,density,level_vs_reference,hot_only,,16,5.256916,0.000283,5.257146,0.000156,-0.00023,0.7,at_equilibrium,heatbath,120,8
su2,32,64,2.3,configs_phase1,density,level_vs_reference,hot_only,,260,2.386363,6.1e-05,2.386464,0.000216,-0.000101,0.4,at_equilibrium,heatbath,120,8
su3,6,12,5.0,configs_paper83,density,level_vs_reference,hot_only,,48,3.597563,0.002508,3.597029,0.001632,0.000534,0.2,at_equilibrium,heatbath,120,8
su3,6,12,5.25,configs_paper83,density,level_vs_reference,hot_only,,128,3.359648,0.001864,3.357211,0.00264,0.002437,0.8,at_equilibrium,heatbath,120,8
su3,6,12,5.5,configs_paper83,density,level_vs_reference,hot_only,,48,3.025382,0.003601,3.016293,0.004191,0.009089,1.6,at_equilibrium,heatbath,120,8
su3,6,12,5.75,configs_paper83,density,level_vs_reference,hot_only,,128,2.643135,0.001851,2.640128,0.003288,0.003007,0.8,at_equilibrium,heatbath,120,8
su3,6,12,6.0,configs_paper83,density,level_vs_reference,hot_only,,48,2.434757,0.002173,2.434306,0.00285,0.000452,0.1,at_equilibrium,heatbath,120,8
su3,6,12,6.25,configs_paper83,density,level_vs_reference,hot_only,,128,2.287892,0.001291,2.293089,0.002148,-0.005197,2.1,at_equilibrium,heatbath,120,8
su3,6,12,6.5,configs_paper83,density,level_vs_reference,hot_only,,48,2.167427,0.001717,2.168219,0.00096,-0.000793,0.4,at_equilibrium,heatbath,120,8
su3,6,12,6.75,configs_paper83,density,level_vs_reference,hot_only,,128,2.060995,0.001095,2.064043,0.001827,-0.003048,1.4,at_equilibrium,heatbath,120,8
su3,6,12,7.0,configs_paper83,density,level_vs_reference,hot_only,,48,1.970709,0.001358,1.969855,0.001415,0.000854,0.4,at_equilibrium,heatbath,120,8
